,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
40,atar,MR,77.05,clear sky,20.5169,-13.0499,Oumou Elghoura
41,georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
42,raymond,US,30.15,overcast clouds,43.9015,-70.4703,Migis Lodge at Sebago Lake
43,mehamn,NO,35.55,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
44,goderich,CA,35.91,overcast clouds,43.7501,-81.7165,Harmony Inn
46,masindi,UG,74.23,light rain,1.6744,31.715,New Court View Hotel
47,atuona,PF,77.45,scattered clouds,-9.8,-139.0333,Villa Enata
50,coquimbo,CL,56.93,overcast clouds,-29.9533,-71.3436,Hotel San Juan
51,daru,PG,81.19,overcast clouds,-9.0763,143.2092,Daru Lodge
53,hithadhoo,MV,81.48,scattered clouds,-0.6,73.0833,Scoop Guest House
54,saint-philippe,RE,80.19,few clouds,-21.3585,55.7679,Le four à pain
55,lorengau,PG,81.93,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
56,emerald,AU,78.35,broken clouds,-23.5333,148.1667,Emerald Inn
57,bluff,NZ,53.33,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
58,hilo,US,75.25,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
60,bethel,US,34.54,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
61,karratha,AU,80.91,few clouds,-20.7377,116.8463,ibis Styles Karratha
62,buala,SB,79.56,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
63,samfya,ZM,86.52,clear sky,-11.3649,29.5565,Chita Lodge Samfya
64,barrow,US,33.82,light rain,71.2906,-156.7887,King Eider Inn
65,namibe,AO,77.63,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
66,new norfolk,AU,56.91,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
67,kawalu,ID,75.87,moderate rain,-7.3817,108.2082,West Jontor
68,pathein,MM,81.64,overcast clouds,16.7833,94.7333,Pathein Hotel
70,ponta do sol,PT,69.12,broken clouds,32.6667,-17.1,Hotel do Campo
72,tasiilaq,GL,36.25,overcast clouds,65.6145,-37.6368,The Red House
73,meulaboh,ID,81.01,broken clouds,4.1363,96.1285,Kost Pria
74,cape town,ZA,71.28,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
75,katsuura,JP,60.33,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
76,bandarbeyla,SO,82.67,clear sky,9.4942,50.8122,JABIR HOTEL
78,lebu,CL,55.26,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
79,primorsko-akhtarsk,RU,48.49,broken clouds,46.0497,38.1747,Guest House on 50 let Oktyabrya
80,east london,ZA,74.34,scattered clouds,-33.0153,27.9116,Tu Casa
81,puerto ayora,EC,69.55,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
82,constitucion,CL,55.17,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
83,portland,US,42.75,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
84,xique-xique,BR,74.21,overcast clouds,-10.8218,-42.7263,Hotel J. Macedo
85,karwar,IN,86.11,scattered clouds,14.8,74.1333,Netalco Connects
86,kurilsk,RU,37.71,broken clouds,45.2333,147.8833,Hotel Ostrov
